,Function,Original Comment,Predicted comment
0,def version flask appbuilder package version click echo click style f a b version 0 format current app appbuilder version bg blue fg white ,flask appbuilder package version , version version of version version
1,def from exception cls pe internal factory method to simplify creating one type of parseexception from another avoids having init signature conflicts among subclasses return cls pe pe loc pe msg pe ,internal factory method to simplify creating one type of from another avoids having init signature conflicts among subclasses , internal factory method to select creating one type of type from another key optional
2,def sum self line return the irq sum number irq line samples 1 44487 341 44 72 io apic 1 edge i8042 loc 33549868 22394684 32474570 21855077 local timer interrupts usb splitted line line split try ret sum map int splitted line 1 self cpu number 1 except valueerror correct issue on some conf pi with ret 0 return ret ,return the irq sum number irq line samples 1 44487 341 44 72 io apic 1 edge i8042 loc 33549868 22394684 32474570 21855077 local timer interrupts usb , return a background for sum number of digits
3,def set oauth session self provider oauth response set the current session with oauth user secrets get this provider key names for token key and token secret token key self appbuilder sm get oauth token key name provider token secret self appbuilder sm get oauth token secret name provider save users token on encrypted session cookie session oauth oauth response token key oauth response get token secret session oauth provider provider ,set the current session with oauth user secrets , set set set set set of token
4,def list domains self domains for cookie in iter self if cookie domain not in domains domains append cookie domain return domains ,utility method to list all the domains in the jar , domains for cookie in a failure created object
5,def arrays overlap a1 a2 collection function returns true if the arrays contain any common non null element if not returns null if both the arrays are non empty and any of them contains a null element returns false otherwise df spark createdataframe a b b c a b c 'x' 'y' df select arrays overlap df x df y alias overlap collect row overlap true row overlap false sc sparkcontext active spark context return column sc jvm functions arrays overlap to java column a1 to java column a2 ,collection function returns true if the arrays contain any common non null element if not returns null if both the arrays are non empty and any of them contains a null element returns false otherwise df spark createdataframe a b b c a b c 'x' 'y' df select arrays overlap df x df y alias overlap collect row overlap true row overlap false , collection function returns true if this arrays from any common non null element if not returns null if both a null element returns false otherwise df spark createdataframe a b b c a b c c a b c replace a b c exp b
6,def get group self get the group of the dataset returns group numpy array or none group size of each group if self group is none self group self get field 'group' if self group is not none group data from lightgbm is boundaries data need to convert to group size self group np diff self group return self group ,get the group of the dataset returns group numpy array or none group size of each group , get a group of my dataset returns group numpy array or none group size of each group
7,def iterate similarity datasets args generator over all similarity evaluation datasets iterates over dataset names keyword arguments for their creation and the created dataset for dataset name in args similarity datasets parameters nlp data list datasets dataset name for key values in itertools product parameters values kwargs dict zip parameters keys key values yield dataset name kwargs nlp data create dataset name kwargs ,generator over all similarity evaluation datasets iterates over dataset names keyword arguments for their creation and the created dataset , over all similarity evaluation datasets
8,def vhost exists name runas none ''' return whether the vhost exists based on rabbitmqctl list vhosts cli example code block bash salt ' ' rabbitmq vhost exists rabbit host ''' if runas is none and not salt utils platform is windows runas salt utils user get user return name in list vhosts runas runas ,return whether the vhost exists based on rabbitmqctl list vhosts cli example code block bash salt ' ' rabbitmq vhost exists rabbit host , return whether this component exists based on rabbitmqctl list usage cli example code block bash salt ' ' rabbitmq enable exists ha 'username' host
9,def coord self func coordfunc args kwargs 'imagepoints' put func with args and kwargs in self flow func for later if in kwargs kwargs true else warn f func name isn't implemented for self class self flow func append partial func args kwargs return self ,put func with args and kwargs in self flow func for later , r put func with args and kwargs in self flow func
10,def purge name delete key true quiet false path none ''' purge the named container and delete its minion key if present warning destroys all data associated with the container path path to the container parent default var lib lxc system default versionadded 2015 8 0 code block bash salt run lxc purge name ''' data do names name 'destroy' path path if data is false return data if delete key skey salt key key opts skey delete key name if data is none return if not quiet jid event fire event 'data' data 'outputter' 'lxc 'progress' return data ,purge the named container and delete its minion key if present warning destroys all data associated with the container path path to the container parent default var lib lxc system default versionadded 2015 8 0 code block bash salt run lxc purge name , copies a key to delete its minion key if present warning it's all data associated with a container parent default var lib lxc default versionadded 2015 8 0 code block bash salt run lxc we name
11,def endsubscription self subscriber unregister a live subscription self reqid2contract pop subscriber reqid none self reqid2subscriber pop subscriber reqid none ,unregister a live subscription , this is a direct subscription
12,def extract programming immediate instructions text self element id extract assignment text instructions param element id element id to extract assignment instructions from type element id str return list of assignment text instructions rtype str dom get page self session opencourse programming immediate url json true course id self course id element id element id return element 'assignmentinstructions' 'definition' 'value' for element in dom 'elements' ,extract assignment text instructions param element id element id to extract assignment instructions from type element id str return list of assignment text instructions rtype str , extract assignment text instructions param element id element id to extract assignment head from type element id str return list of assignment text
13,def self tarinfo targetpath make a directory called targetpath try use a safe mode for the directory the real mode is set later in extract member os mkdir targetpath 0o700 except environmenterror as e if e errno errno eexist raise ,make a directory called targetpath , make a directory called targetpath
14,def get canonical names packages from vendor packaging utils import canonicalize name if not isinstance packages sequence if not isinstance packages six string types return packages packages packages return set canonicalize name pkg for pkg in packages if pkg ,canonicalize a list of packages and return a set of canonical names , get a list of all packages in a given name
15,def add self cell append a cell into the stack parameters cell the cell to be appended during unroll previous cell's output or raw inputs if no previous cell is used as the input to this cell self cells append cell if self override cell params assert cell own params either specify params for or child cells not both cell params params update self params params self params params update cell params params ,append a cell into the stack parameters cell the cell to be appended during unroll previous cell's output or raw inputs if no previous cell is used as the input to this cell , append a cell into a cell previous by cell
16,def format entrypoint target ep ''' makes a string describing the target of an entrypoint object base strongly on entrypoint str ''' s ep module name if ep attrs s ' ' ' ' join ep attrs return s ,makes a string describing the target of an entrypoint object base strongly on entrypoint str , makes a string describing this target of an xgboost object base except on passed str
17,def get text from html html try soup beautifulsoup html html parser except pylint disable bare except some docs don't parse return remove script and style tags for s in soup script style s decompose return n join s for s in soup strings soup ,returns a plaintext representation of html content , parse html html html with tags to parse a html
18,def fib iter n summary works iterative approximate o n arguments n int description returns int description precondition assert n 0 'n must be positive integer' fib 1 0 fib 2 1 sum 0 if n 1 return n for in range n 1 sum fib 1 fib 2 fib 1 fib 2 fib 2 sum return sum ,summary works iterative approximate o n arguments n int description returns int description , works up a given element and o n int description returns int description
19,def service start name ''' start a service on the ssh server versionadded 2015 8 2 ''' cmd 'start ' name send the command to execute out err details 'server' sendline cmd scrape the output and return the right fields as a dict return parse out ,a service on the ssh server versionadded 2015 8 2 , start a service on a ssh server versionadded 2015 8 2
